idx,classes,predictions
0,steel arch bridge,0.43294963240623474
0,pier,0.3302139341831207
0,suspension bridge,0.04886658489704132
0,crane,0.04305052012205124
0,viaduct,0.008062344044446945
0,fireboat,0.004457405302673578
0,"paddlewheel, paddle wheel",0.002449040999636054
0,water tower,0.0014766938984394073
0,"lakeside, lakeshore",0.0012923871399834752
0,"drilling platform, offshore rig",0.0012374893995001912
0,"beacon, lighthouse, beacon light, pharos",0.0011137760011479259
0,"dock, dockage, docking facility",0.0010709899943321943
0,tripod,0.0010706406319513917
0,"microphone, mike",0.0009978230809792876
0,"breakwater, groin, groyne, mole, bulwark, seawall, jetty",0.0009675283217802644
0,"fire engine, fire truck",0.000957179581746459
0,"bannister, banister, balustrade, balusters, handrail",0.0008745364029891789
0,"valley, vale",0.0007983787800185382
0,"container ship, containership, container vessel",0.0007571939495392144
0,"radio telescope, radio reflector",0.000742349133361131
0,cannon,0.0007390612736344337
0,"promontory, headland, head, foreland",0.0007018473697826266
0,chainlink fence,0.0006122967461124063
0,stage,0.0005809088470414281
0,"hook, claw",0.000558224506676197
0,"airship, dirigible",0.0005550976493395865
0,holster,0.0005201979074627161
0,"traffic light, traffic signal, stoplight",0.0005167195340618491
0,"remote control, remote",0.0005120399873703718
0,"megalith, megalithic structure",0.0005109370686113834
0,"dam, dike, dyke",0.0004882963839918375
0,"liner, ocean liner",0.0004827863594982773
0,boathouse,0.00047760221059434116
0,canoe,0.0004694100352935493
0,"seashore, coast, seacoast, sea-coast",0.0004595877544488758
0,turnstile,0.0004528020217549056
0,"spotlight, spot",0.0004512720333877951
0,fountain,0.00044827614328823984
0,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",0.0004452812427189201
0,umbrella,0.00041566844447515905
0,castle,0.00041008065454661846
0,analog clock,0.00040303089190274477
0,"black stork, Ciconia nigra",0.00038741197204217315
0,"bicycle-built-for-two, tandem bicycle, tandem",0.00038105325074866414
0,kimono,0.0003785478475037962
0,"European gallinule, Porphyrio porphyrio",0.00037852692184969783
0,"flagpole, flagstaff",0.000375359202735126
0,"greenhouse, nursery, glasshouse",0.0003702926333062351
0,steam locomotive,0.0003633390588220209
0,"limpkin, Aramus pictus",0.0003430360520724207
0,"gong, tam-tam",0.00034070934634655714
0,Brittany spaniel,0.00033805856946855783
0,hair spray,0.0003380027774255723
0,geyser,0.00033595183049328625
0,"groom, bridegroom",0.0003338991373311728
0,swing,0.00032862002262845635
0,shopping cart,0.00032850675052031875
0,freight car,0.0003198963822796941
0,"harvester, reaper",0.00031765931635163724
0,"passenger car, coach, carriage",0.00031317153479903936
